feature,importance
base__ecfp_1855,4.1412430197714314e-05
base__ecfp_486,4.046098413103065e-05
base__ecfp_282,3.998308395378169e-05
base__ecfp_699,3.9387164805026506e-05
missingindicator_delta3d__feat3d__complex_physical__metal_partial_charge,3.8694229575331136e-05
base__ecfp_146,3.6628215820337264e-05
base__ecfp_114,3.529222397166426e-05
base__ecfp_1034,3.4421128705262425e-05
base__cond__diluent__tbub,3.416691280719492e-05
base__ecfp_1534,3.3119634344468886e-05
base__ecfp_893,3.241973641026055e-05
base__ecfp_255,3.1528660037594737e-05
base__ecfp_1680,3.0186204617104607e-05
base__cond__acid__h2so4,2.908421813309586e-05
base__ecfp_697,2.876384721827341e-05
base__ecfp_860,2.8635550534713547e-05
base__cond__diluent__cyclohexanone,2.7562584994698016e-05
base__ecfp_773,2.5509299903267394e-05
base__ecfp_1060,2.481525145727983e-05
base__cond__acid__tartaric_acid,2.4754808485281548e-05
base__ecfp_54,2.3999262703501854e-05
base__ecfp_226,2.3820652607540615e-05
base__ecfp_1845,2.340077530809013e-05
base__ecfp_1995,2.2784597633057775e-05
base__ecfp_1683,2.271925686822622e-05
base__ecfp_970,2.1991710918136548e-05
base__ecfp_1087,2.1865005160305405e-05
base__ecfp_1221,1.9718206492013592e-05
base__cond__diluent__1_4_diisopropylbenzene,1.9258521788021483e-05
base__ecfp_1912,1.879209919859071e-05
base__ecfp_1765,1.5156082207333043e-05
base__ecfp_1953,1.443729994100633e-05
base__cond__diluent__tert_butylbenzene,1.421688407770438e-05
base__ecfp_1455,1.3548582441960682e-05
base__ecfp_561,1.2838793612866417e-05
base__ecfp_1952,1.2415758134858366e-05
base__ecfp_942,1.199078632072871e-05
base__ecfp_783,1.1512446447794709e-05
base__ecfp_488,1.1265844176960379e-05
base__ecfp_378,1.1016382157483634e-05
base__cond__diluent__hydrogenated_tetrapropylene,1.0638331055508535e-05
base__ecfp_96,1.0465542028920093e-05
base__ecfp_1004,9.172315164661673e-06
base__ecfp_392,8.694524482751275e-06
base__ecfp_369,8.684261598793136e-06
base__ecfp_780,8.38032316771937e-06
base__cond__additive__1_octanol,7.207259027397377e-06
base__ecfp_1866,6.936419643300252e-06
base__ecfp_640,6.642496652398205e-06
base__ecfp_1103,6.569820744199351e-06
base__ecfp_1017,6.123041912110255e-06
base__ecfp_798,5.090595353218835e-06
base__ecfp_388,4.994740090039485e-06
base__ecfp_677,4.984239454232122e-06
base__ecfp_933,4.945170598156603e-06
base__ecfp_1630,4.847720215852489e-06
base__ecfp_897,4.76510074851363e-06
base__ecfp_46,4.622243438632423e-06
base__ecfp_1895,4.1767170153840885e-06
base__cond__diluent__avkerosene,2.8497194362300044e-06
base__ecfp_1386,2.8310697610397184e-06
base__ecfp_1243,2.8167935650988108e-06
base__ecfp_507,2.709455628151914e-06
base__ecfp_843,2.301472925452826e-06
base__ecfp_841,1.9102251966898866e-06
base__ecfp_466,1.7852676262747084e-06
base__ecfp_663,1.6488054747300631e-06
base__ecfp_1051,1.6165918162772081e-06
base__cond__diluent__dipb,1.5975211212289187e-06
