comparison,dropped_chemotype,delta,n_units
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc031,-0.0013325760942556758,87
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc032,-0.0009745805854448965,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc033,-0.0015561392113154484,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc036,-0.0015378423013573614,86
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc055,-0.0008570434841402219,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc057,-0.0014235132109191337,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc058,-0.0005197162999745686,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc059,-0.0011434595677900282,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc060,-0.0010201767328222075,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc061,-1.5076473532512202e-05,88
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc062,-0.000735951534432314,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc063,-0.0006298342616985752,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc068,-0.0008841546950327794,84
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc069,-0.0005494173713389908,88
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc070,-0.001242480129334205,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc071,-0.0008737032859847512,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc075,-0.0008648747598644774,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc076,-0.0006400200878926263,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc077,-0.0008693356823333261,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc078,-0.0007369984632114451,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc083,0.0005057665573692708,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc084,-0.0012015491557773447,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc085,-0.0010544373953019356,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc086,-0.0009104906782457119,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc092,-5.759689996357647e-06,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc096,-0.0006750503790456221,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc097,-0.0008474048493793367,89
