species,kind,canonical_smiles,charge,uhf,mode,energy_Eh,energy_eV,converged,xtb_version
lig_166,free_ligand,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0,0,opt,,,,
lig_167,free_ligand,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCc5ccccc54)nc3c2n1)N1CCc2ccccc21,0,0,opt,,,,
lig_168,free_ligand,O=C(c1cccc(C(=O)N2CCCC2)n1)N1CCCC1,0,0,opt,,,,
lig_169,free_ligand,O=C(c1ccccc1)c1ccc2ccccc2n1,0,0,opt,,,,
lig_170,free_ligand,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,0,0,opt,,,,
lig_171,free_ligand,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,0,opt,,,,
lig_172,free_ligand,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,0,0,opt,,,,
lig_173,free_ligand,S=P(S)(c1ccccc1Cl)c1ccccc1Cl,0,0,opt,,,,
lig_174,free_ligand,c1cc(-n2cccn2)nc(-n2cccn2)c1,0,0,opt,,,,
lig_175,free_ligand,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,0,0,opt,,,,
lig_176,free_ligand,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0,0,opt,,,,
strain_lig_000,ligand_at_complex_geometry,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0,0,sp,,,,
strain_lig_001,ligand_at_complex_geometry,C1COCCOCCOCCOCCOCCO1,0,0,sp,,,,
strain_lig_002,ligand_at_complex_geometry,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0,0,sp,,,,
strain_lig_003,ligand_at_complex_geometry,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0,0,sp,,,,
strain_lig_004,ligand_at_complex_geometry,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,0,0,sp,,,,
strain_lig_006,ligand_at_complex_geometry,CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0,0,sp,,,,
strain_lig_007,ligand_at_complex_geometry,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0,0,sp,,,,
