species,canonical_smiles,status,how
lig_139,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,ok,ETKDGv3 + MMFF94s
lig_140,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,ok,ETKDGv3 + MMFF94s
lig_141,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,ok,ETKDGv3 + MMFF94s
lig_142,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,ok,ETKDGv3 + MMFF94s
lig_143,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,ok,ETKDGv3 + MMFF94s
lig_144,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,ok,ETKDGv3 + MMFF94s
lig_145,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_146,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,ok,ETKDGv3 + MMFF94s
lig_147,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,ok,ETKDGv3 + MMFF94s
lig_148,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,ok,ETKDGv3 + MMFF94s
lig_149,CCN(CC)C(=O)COCC(=O)N(CC)CC,ok,ETKDGv3 + MMFF94s
lig_150,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,ok,ETKDGv3 + MMFF94s
lig_151,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,ok,ETKDGv3 + MMFF94s
lig_152,CCOP(=S)(COCP(=S)(OCC)OCC)OCC,ok,ETKDGv3 + MMFF94s
lig_153,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,ok,ETKDGv3 + MMFF94s
lig_154,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_155,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_156,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_157,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,ok,ETKDGv3 + MMFF94s
lig_158,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,ok,ETKDGv3 + MMFF94s
lig_159,Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,ok,ETKDGv3 + MMFF94s
lig_160,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,ok,ETKDGv3 + MMFF94s
lig_161,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,ok,ETKDGv3 + MMFF94s
lig_162,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,ok,ETKDGv3 + MMFF94s
lig_163,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,ok,ETKDGv3 + MMFF94s
lig_164,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,ok,ETKDGv3 + MMFF94s
