extractant,chemotype,mae_all,n_pairs,n_cells,mae_adjacent,mae_far,entry
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sc009,0.21360293337324823,376,20,0.0929865398799619,0.31547547515829866,L1_CORPUS_MEAN_permetal
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc009,0.2039991216916143,41,14,0.22076329345501958,0.17671149908710906,L1_CORPUS_MEAN_permetal
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc027,0.31711223174315534,91,1,0.11630115992936248,0.42439685627627455,L1_CORPUS_MEAN_permetal
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc028,0.7145183159065611,78,1,0.142683865422336,1.052837915220326,L1_CORPUS_MEAN_permetal
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,sc029,0.6318724174811239,91,1,0.21805205387954324,0.8003941503596929,L1_CORPUS_MEAN_permetal
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,sc030,0.558320838779255,36,1,0.1694772534521114,0.8817904493535206,L1_CORPUS_MEAN_permetal
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,sc030,0.779352674770137,91,1,0.17539006149809713,1.1308515932359962,L1_CORPUS_MEAN_permetal
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,sc031,0.8676175769599886,36,1,0.2904912218893108,1.3615035873857109,L1_CORPUS_MEAN_permetal
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,0.7896276865806359,1282,74,0.19340242273397534,1.2509447024061842,L1_CORPUS_MEAN_permetal
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,0.7741788383957869,91,1,0.23828406914679037,1.1324206615847259,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,sc009,0.15348460771461417,28,1,0.20164457917088904,0.15680237070732295,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,sc009,0.14411044038162338,28,1,0.20822776387160338,0.12551008376240916,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,sc009,0.7097002388451763,91,1,0.2428532468717697,1.0059184361197295,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,sc033,0.5847576963130257,91,1,0.16049890157257282,0.8810149993474454,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,sc009,0.784086849340956,91,1,0.26760336830286824,1.1202701384139486,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,sc009,0.7213570019410023,78,1,0.20588317768693584,1.1085880991139005,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,sc009,0.9573755434063015,91,1,0.28038869934906707,1.4344611012835025,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,sc027,0.20444400640936602,91,1,0.11942677625726959,0.25760863259003797,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,sc036,0.589546540754239,36,1,0.29137406175406855,0.8531858100744654,L1_CORPUS_MEAN_permetal
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,sc032,1.1920226078151317,10,5,1.174298944544481,,L1_CORPUS_MEAN_permetal
