full_arm,k,failure_class,mae,n_ligands
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,3,PARTIAL_LEVEL,1.1155609491170784,5
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,3,PURE_LEVEL,0.4713877252066682,20
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,3,RESIDUAL_SHAPE,1.3681662905679695,23
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,5,ALREADY_GOOD,0.6524747257073075,51
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,5,PARTIAL_LEVEL,0.959354226481002,5
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,5,PURE_LEVEL,0.4399286755484585,20
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,5,RESIDUAL_SHAPE,1.3027837330543597,23
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,1,ALREADY_GOOD,0.7061074337879827,51
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,1,PARTIAL_LEVEL,0.7809801966175078,5
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,1,PURE_LEVEL,0.4621562808793347,20
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,1,RESIDUAL_SHAPE,1.414997586094672,23
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,2,ALREADY_GOOD,0.6867303063010838,51
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,2,PARTIAL_LEVEL,0.7992208709423777,5
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,2,PURE_LEVEL,0.4455504897588402,20
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,2,RESIDUAL_SHAPE,1.341532977263191,23
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,3,ALREADY_GOOD,0.6696492444956419,51
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,3,PARTIAL_LEVEL,0.8057818746237455,5
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,3,PURE_LEVEL,0.43305007767271164,20
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,3,RESIDUAL_SHAPE,1.3174943311499223,23
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,5,ALREADY_GOOD,0.6540686682075284,51
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,5,PARTIAL_LEVEL,0.8435146502593955,5
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,5,PURE_LEVEL,0.42961601264885196,20
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,5,RESIDUAL_SHAPE,1.2887494766124905,23
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],1,ALREADY_GOOD,0.5984380907264049,51
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],1,PARTIAL_LEVEL,0.7220294752844264,5
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],1,PURE_LEVEL,0.38398699696153904,20
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],1,RESIDUAL_SHAPE,1.186673106104683,23
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],2,ALREADY_GOOD,0.5771331582886655,51
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],2,PARTIAL_LEVEL,0.7142090520308347,5
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],2,PURE_LEVEL,0.3762725112380266,20
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],2,RESIDUAL_SHAPE,1.155617320996053,23
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],3,ALREADY_GOOD,0.574928946060185,51
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],3,PARTIAL_LEVEL,0.7089619449004807,5
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],3,PURE_LEVEL,0.37366250684907276,20
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],3,RESIDUAL_SHAPE,1.156279819596445,23
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],5,ALREADY_GOOD,0.5899961626004625,51
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],5,PARTIAL_LEVEL,0.736829530498315,5
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],5,PURE_LEVEL,0.3816375420044957,20
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],5,RESIDUAL_SHAPE,1.1928994639515544,23
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,1,ALREADY_GOOD,0.7976510918422313,51
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,1,PARTIAL_LEVEL,1.1111844326828708,5
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,1,PURE_LEVEL,0.520655031287568,20
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,1,RESIDUAL_SHAPE,1.6088062744754337,23
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,2,ALREADY_GOOD,0.7088152958759504,51
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,2,PARTIAL_LEVEL,1.0123852104323485,5
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,2,PURE_LEVEL,0.46906636113217914,20
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,2,RESIDUAL_SHAPE,1.444427814752348,23
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,3,ALREADY_GOOD,0.674819306093291,51
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,3,PARTIAL_LEVEL,0.9683738467967478,5
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,3,PURE_LEVEL,0.44083108634008994,20
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,3,RESIDUAL_SHAPE,1.3596721774914813,23
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,5,ALREADY_GOOD,0.6545204397975779,51
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,5,PARTIAL_LEVEL,0.9118949280128146,5
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,5,PURE_LEVEL,0.42331839899694657,20
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,5,RESIDUAL_SHAPE,1.2911004268564812,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,1,ALREADY_GOOD,0.5263892849091473,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,1,PARTIAL_LEVEL,0.7185028845147732,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,1,PURE_LEVEL,0.4480937477692352,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,1,RESIDUAL_SHAPE,1.2819681248303538,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,2,ALREADY_GOOD,0.5008162576862581,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,2,PARTIAL_LEVEL,0.6577944687316583,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,2,PURE_LEVEL,0.42363681145071813,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,2,RESIDUAL_SHAPE,1.2023416842957886,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,3,ALREADY_GOOD,0.4823221302545788,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,3,PARTIAL_LEVEL,0.6856598023519737,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,3,PURE_LEVEL,0.4185806783827289,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,3,RESIDUAL_SHAPE,1.1534080413123957,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,5,ALREADY_GOOD,0.4623559494455845,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,5,PARTIAL_LEVEL,0.7053788584462837,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,5,PURE_LEVEL,0.4091979693448565,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,5,RESIDUAL_SHAPE,1.1338219640143685,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,1,ALREADY_GOOD,0.5284542870525359,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,1,PARTIAL_LEVEL,0.6752264819797238,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,1,PURE_LEVEL,0.4478281264844507,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,1,RESIDUAL_SHAPE,1.268084422968228,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,2,ALREADY_GOOD,0.48892994024388026,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,2,PARTIAL_LEVEL,0.8026568627427334,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,2,PURE_LEVEL,0.4437987214940005,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,2,RESIDUAL_SHAPE,1.293691385008754,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,3,ALREADY_GOOD,0.46356258640709386,51
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,3,PARTIAL_LEVEL,0.8492895452594199,5
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,3,PURE_LEVEL,0.4279568595421438,20
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,3,RESIDUAL_SHAPE,1.2305886001487814,23
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,5,ALREADY_GOOD,0.4472511729866497,51
