,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__basis_shift,err__basis_shift,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,,,
X_ENS_DIRECT+LOWRANK_K2,widest,4,0.26512985969188524,430,0.1889508765813551,430,,430,0.2605614724294507,430,0.18187708816194018,430
X_ENS_DIRECT+LOWRANK_K2,widest,5,0.2986628436713837,3130,0.1682345150877338,3130,,3130,0.2186690587108101,3130,0.1304210271382118,3130
X_ENS_DIRECT+LOWRANK_K2,widest,6,0.3602433743095009,835,0.18958969611193568,835,,835,0.22991871550970447,835,0.1880723993621521,835
X_ENS_DIRECT+LOWRANK_K2,widest,7,0.22717438271458054,6750,0.11746856949934284,6750,,6750,0.18993227828338644,6750,0.11490416603708868,6750
X_ENS_DIRECT+LOWRANK_K2,widest,8,0.3200184096538173,395,0.24218435663049317,395,,395,0.29178446910395167,395,0.3253430196666903,395
X_ENS_DIRECT+LOWRANK_K2,widest,9,0.6899028038950774,1205,0.38756428952270894,1205,,1205,0.582930930550339,1205,0.3410376232789681,1205
X_ENS_DIRECT+LOWRANK_K2,widest,10,0.46090396633250785,1820,0.24759762366971655,1820,,1820,0.3825975628549138,1820,0.21383852511455015,1820
X_ENS_DIRECT+LOWRANK_K2,widest,11,0.8200367939827036,175,0.28666661979608055,175,,175,0.6523870466912717,175,0.18946841376371543,175
X_ENS_DIRECT+LOWRANK_K2,widest,12,0.5589412935662982,1975,0.2709686237613984,1975,,1975,0.3969203014840696,1975,0.2980924388447788,1975
X_ENS_DIRECT+LOWRANK_K2,widest,13,0.5264266656403545,51070,0.25097268127474365,51070,,51070,0.38814308221932725,51070,0.25033513804344265,51070
