comparison,reference,candidate,statistic,endpoint,feature_set,n_runs,n_rows,mean_delta,min_delta,max_delta,n_delta_positive,n_ci95_low_above_zero,n_with_ci,direction_consistent
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,all,MC_lig2d_ext_massaction,1,1,-0.0112219751225849,-0.0112219751225849,-0.0112219751225849,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,nn<0.4,MC_donors,1,1,-0.0127129813451944,-0.0127129813451944,-0.0127129813451944,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,nn<0.4,MC_donors,1,1,-0.0154616291764118,-0.0154616291764118,-0.0154616291764118,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,-0.0208766453495767,-0.0208766453495767,-0.0208766453495767,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,nn<0.4,MC_lig2d_ext_massaction,1,1,-0.0314242107891327,-0.0314242107891327,-0.0314242107891327,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,nn<0.4,MC_donors,1,1,-0.0444065940530634,-0.0444065940530634,-0.0444065940530634,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,nn<0.6,MC_donors,1,1,-0.0472671803308415,-0.0472671803308415,-0.0472671803308415,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,all,MC_donors,1,1,-0.0512704480582374,-0.0512704480582374,-0.0512704480582374,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,nn<0.4,MC_donors,1,1,-0.0513371779707745,-0.0513371779707745,-0.0513371779707745,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,nn<0.6,MC_donors,1,1,-0.0519333964180438,-0.0519333964180438,-0.0519333964180438,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,all,MC_donors,1,1,-0.055757382216234,-0.055757382216234,-0.055757382216234,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,nn<0.6,MC_donors,1,1,-0.0561247963569609,-0.0561247963569609,-0.0561247963569609,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,all,MC_donors,1,1,-0.0646853467224242,-0.0646853467224242,-0.0646853467224242,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,-0.0681280760012682,-0.0681280760012682,-0.0681280760012682,0,0,1,True
