adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats_baseline,baseline
ZERO_SHOT,1,143,0.9953088082511604,0.7123587784068167,0.28295002984434353,0.1783954401011458,0.3939428899555618,0.38461538461538464,False,OFFSET_K3
CNP_ligand,1,143,1.0136975854391872,0.7123587784068167,0.3013388070323703,0.22741954497191344,0.3793088094380555,0.22377622377622378,False,OFFSET_K3
CNP_ligand_recovered,1,143,1.1392264790053526,0.7123587784068167,0.4268677005985355,0.34578905078786065,0.5154253468312352,0.16783216783216784,False,OFFSET_K3
OFFSET_K3,2,143,0.5798185590853117,0.5798185590853117,0.0,0.0,0.0,0.0,False,OFFSET_K3
OFFSET_K2,2,143,0.6067309846339669,0.5798185590853117,0.026912425548655132,0.018612573208794187,0.03597388063837269,0.3076923076923077,False,OFFSET_K3
CNPRES_shrinkage,2,143,0.6208426520794923,0.5798185590853117,0.04102409299418041,0.03203653480516695,0.05066059204542118,0.2097902097902098,False,OFFSET_K3
OFFSET_K1,2,143,0.6240939133523614,0.5798185590853117,0.044275354267049594,0.03572893499122657,0.053962612822710705,0.14685314685314685,False,OFFSET_K3
CNPRES_conditions_only,2,143,0.6266507342629576,0.5798185590853117,0.046832175177645846,0.03181917408999859,0.06340431590225255,0.23776223776223776,False,OFFSET_K3
CNPRES_absolute_x,2,143,0.6286159494807363,0.5798185590853117,0.048797390395424474,0.039654727679018724,0.059074847486475394,0.13286713286713286,False,OFFSET_K3
CNPRES_ligand_recovered,2,143,0.6295164651347762,0.5798185590853117,0.049697906049464446,0.040032627803559054,0.05940739637633863,0.13986013986013987,False,OFFSET_K3
CNPRES_ligand,2,143,0.6520380018638098,0.5798185590853117,0.07221944277849805,0.057576950692773035,0.0877907870720508,0.11188811188811189,False,OFFSET_K3
CNPRES_attentive,2,143,0.6593743336400759,0.5798185590853117,0.07955577455476412,0.06261855969500066,0.09750150972226627,0.13986013986013987,False,OFFSET_K3
NEAREST_OBSERVED,2,143,0.661179779309456,0.5798185590853117,0.08136122022414434,0.04158072817719086,0.12007043909013905,0.35664335664335667,False,OFFSET_K3
NO_MODEL,2,143,0.7409261436338421,0.5798185590853117,0.16110758454853033,0.11623515883098676,0.20811406049887016,0.2727272727272727,False,OFFSET_K3
CNP_conditions_only,2,143,0.840246450973172,0.5798185590853117,0.2604278918878603,0.2121242681917067,0.3087807165357654,0.18181818181818182,False,OFFSET_K3
ZERO_SHOT,2,143,0.9953088082511604,0.5798185590853117,0.4154902491658485,0.311181437330077,0.5228775298370378,0.2517482517482518,False,OFFSET_K3
CNP_ligand,2,143,0.998283993265881,0.5798185590853117,0.4184654341805694,0.3510587747897468,0.4898923345652565,0.1258741258741259,False,OFFSET_K3
CNP_ligand_recovered,2,143,1.1321745474829155,0.5798185590853117,0.5523559883976035,0.47363263352756557,0.6319820675163378,0.09090909090909091,False,OFFSET_K3
OFFSET_K3,3,140,0.5211208272584841,0.5211208272584841,0.0,0.0,0.0,0.0,False,OFFSET_K3
OFFSET_K2,3,140,0.5692948076610697,0.5211208272584841,0.04817398040258551,0.033416142266590544,0.06351515750216534,0.29285714285714287,False,OFFSET_K3
NEAREST_OBSERVED,3,140,0.5784866272363114,0.5211208272584841,0.05736579997782726,0.024750446000347596,0.09187113880146286,0.40714285714285714,False,OFFSET_K3
CNPRES_conditions_only,3,140,0.5959270606370847,0.5211208272584841,0.07480623337860057,0.05819718492435577,0.09073115320432218,0.15,False,OFFSET_K3
OFFSET_K1,3,140,0.6013289557882826,0.5211208272584841,0.08020812852979842,0.06498377744084423,0.0967361681392634,0.1357142857142857,False,OFFSET_K3
