extractant,tanimoto_cluster,level_raw,level_adjusted,adjusted_coverage,n_rows,log_d_max,log_d_min,level
CCCCN(C)C(=O)CC(=O)N(C)CCCC,tan053,-0.886056648,-1.3053258177050724,1.0,9,-0.698970004,-1.5228787450000005,-0.886056648
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,tan086,1.694583042,1.6550123597109678,1.0,4,1.763427994,1.672097858,1.694583042
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,tan049,0.380211242,1.5360237170891158,1.0,9,0.740362689,-0.04575749099999999,0.380211242
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,tan049,-1.301029996,-2.0125447234435763,1.0,5,-1.2218487500000006,-1.3979400090000005,-1.301029996
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,tan055,-0.44673742899603297,0.15585478861353813,0.6666666666666666,6,-0.08704522930822015,-1.5955749482795731,-0.44673742899603297
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,tan055,0.37144542390976854,0.4859366597014343,0.5166666666666667,240,2.832508912706236,-1.5319660786632705,0.37144542390976854
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,tan055,-0.5340768533203142,-0.15585478861353813,0.6666666666666666,6,-0.26694055194293087,-1.5955749482795731,-0.5340768533203142
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,tan078,-1.0915480805,-2.2811022364997138,1.0,14,-0.8239087409999999,-1.3979400090000005,-1.0915480805
CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,tan078,0.19010562085580301,0.30087053463474683,1.0,6,0.2304489213782739,-1.0,0.19010562085580301
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,tan085,0.505149978,1.245166275495929,1.0,3,3.0,-1.0,0.505149978
