regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,MC_all2d_vs_MC_all2d@hgb,MC_all2d,MC_all2d@hgb,-0.02495364446249263,-0.0930766999567617,0.07670271705981897,0.6730653869226155,44,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_all2d@ridge,MC_all2d,MC_all2d@ridge,-0.3594982915614991,-0.5416089176860727,-0.12037843691833508,1.0,21,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_ecfp_SHUF,MC_all2d,MC_ecfp_SHUF,-0.1194915773414144,-0.19655605923151756,-0.017115503973169046,0.9854029194161168,26,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_lig2d_ext_SHUF,MC_all2d,MC_lig2d_ext_SHUF,-0.12225170370640048,-0.19835949935422476,-0.021601560856958003,0.9872025594881024,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_donors_SHUF,MC_all2d,MC_donors_SHUF,-0.0991717632911284,-0.1833120380783909,-0.004579726991910477,0.9782043591281744,30,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_cond_SHUF,MC_all2d,MC_cond_SHUF,-0.4506345801540628,-0.6279224552165423,-0.31280010598082586,1.0,9,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_NULL_metal_mean,MC_all2d,NULL_metal_mean,-0.4022888417543185,-0.5645927888101578,-0.2149002286628945,1.0,15,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_NULL_global_mean,MC_all2d,NULL_global_mean,-0.3861960458851925,-0.5660483692904469,-0.1933527191122868,1.0,19,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_NULL_extractant_mean,MC_all2d,NULL_extractant_mean,-0.3861960458851925,-0.5660483692904469,-0.1933527191122868,1.0,19,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_NULL_nearest_condition,MC_all2d,NULL_nearest_condition,-0.3861960458851925,-0.5660483692904469,-0.1933527191122868,1.0,19,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_cond,A_metal,A_cond,0.17991245437588108,0.05486010071042221,0.3511777675450379,0.003199360127974405,46,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_physchem,A_metal,A_physchem,0.1375620694325852,0.006641298927330253,0.34016898427798375,0.019596080783843232,40,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_ecfp,A_metal,A_ecfp,0.18238712362159365,0.012733502596873178,0.29997680850273867,0.01839632073585283,44,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_lig2d_ext,A_metal,A_lig2d_ext,0.19504683549614818,0.07152115004798566,0.3415182632390412,0.0021995600879824036,50,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_donors,A_metal,A_donors,0.23119436368742916,0.044699327752408806,0.3563951758561165,0.006798640271945611,53,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_complex_phys,A_metal,A_complex_phys,0.18198878051916176,0.04352080997827222,0.2789308695060455,0.004399120175964807,50,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_A_polyhedron,A_metal,A_polyhedron,0.17363762873328406,0.017719881535140036,0.2804737723258258,0.015396920615876825,47,74,ecfp_cluster,tanimoto_cluster,40,5000
