extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.118983,0.0911764,0.0305564,-1.27909,0.529183,0.523813,0.0288918,-0.204487,14,s104729_S_b004,4
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,-0.335196,-0.438732,-0.520739,-0.671084,0.644377,0.926124,0.602458,0.322634,14,s104729_S_b004,4
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,-0.936815,-0.0561931,0.253291,-0.213484,0.801343,-0.229881,1.60812,-0.288183,14,s104729_S_b004,4
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,-0.921125,-0.452856,0.346509,-1.11938,0.721997,0.236182,1.081,0.0659636,14,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,1.98617,-1.27777,0.726132,0.916671,-1.00786,-1.19692,-0.983795,-0.762667,12,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.425653,0.831416,0.342542,0.502877,1.02213,-1.06022,0.188353,-0.958948,24,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.740867,0.451988,0.887056,0.444705,0.903414,-0.639026,0.428704,-0.776431,64,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,1.49039,-1.37167,0.115173,0.706156,-1.18106,-0.986483,-2.45199,-0.75973,35,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,-0.180569,-0.625958,0.3346,0.140531,0.878036,0.112121,-0.653922,-0.254963,10,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,1.50586,2.09329,0.164473,0.422966,0.0183754,1.3758,1.02594,-0.30805,9,s104729_S_b004,4
