global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@RANDOM,5,0.5934784860406911,99
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL,2,0.6131855687023442,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL,3,0.5962245463033978,140
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL,5,0.6186743306414301,99
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,2,0.6158366195938452,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,3,0.5998555630292488,140
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,5,0.6230545092774045,99
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@D_OPTIMAL,1,0.8865789786518616,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@D_OPTIMAL,2,0.6393754177620675,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@D_OPTIMAL,3,0.6197007073613668,140
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@D_OPTIMAL,5,0.6298257386763918,99
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@MEDOID,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@MEDOID,2,0.6178405405552508,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@MEDOID,3,0.6005922199952173,140
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@MEDOID,5,0.6225727104656192,99
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],1,0.47904936904408196,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],2,0.48337630472055004,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],3,0.5115900400069271,140
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],5,0.5504181752328972,99
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@RANDOM,1,0.7153125381561343,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@RANDOM,2,0.6325826070813809,143
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@RANDOM,3,0.6079388335241461,140
GEN9_A0_ROW_ONLY,SERIES_MAP_NOSERIES@RANDOM,5,0.622897462725378,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL,1,0.6295634852518279,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL,2,0.5975588734462887,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL,3,0.5817770449724925,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL,5,0.6035394283999084,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,1,0.6293743739752344,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,2,0.6017188502318612,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,3,0.5876484953842276,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,5,0.6109031877663612,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@D_OPTIMAL,1,0.8522241530535906,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@D_OPTIMAL,2,0.6242439489846315,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@D_OPTIMAL,3,0.6055953855074441,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@D_OPTIMAL,5,0.6181831228505845,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@MEDOID,1,0.6293743739752344,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@MEDOID,2,0.6020438142470654,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@MEDOID,3,0.5851469448730718,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@MEDOID,5,0.6064403135009523,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],1,0.47266560659787676,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],2,0.4756670569002736,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],3,0.5021559959863982,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],5,0.5392678883693894,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@RANDOM,1,0.7000873187552102,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@RANDOM,2,0.620497484726149,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@RANDOM,3,0.596316206465921,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@RANDOM,5,0.6111999300420495,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL,1,0.6295634852518279,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL,2,0.5895953884519881,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL,3,0.5465029141346346,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL,5,0.5404650403219221,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,1,0.6293743739752344,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,2,0.5386885525088339,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.485347074871605,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,5,0.4769005205085227,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@D_OPTIMAL,1,0.8522241530535906,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@D_OPTIMAL,2,0.5486776848707341,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@D_OPTIMAL,3,0.4965276581413771,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@D_OPTIMAL,5,0.4739515788879881,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@MEDOID,1,0.6293743739752344,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@MEDOID,2,0.5951602062613227,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@MEDOID,3,0.5522945746577632,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@MEDOID,5,0.5474160587248011,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],1,0.47266560659787676,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],2,0.4602580402495051,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],3,0.46472430507184703,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],5,0.4792905775917791,99
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@RANDOM,1,0.7000873187552102,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@RANDOM,2,0.5801068043212216,143
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@RANDOM,3,0.5240294217662066,140
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@RANDOM,5,0.4994963471409254,99
GEN9_A0_ROW_ONLY,ZERO_SHOT,0,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL,1,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL,2,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL,3,1.0023329256464428,140
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL,5,1.059866963000906,99
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL_THEN_SPREAD,1,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL_THEN_SPREAD,2,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL_THEN_SPREAD,3,1.0023329256464428,140
GEN9_A0_ROW_ONLY,ZERO_SHOT@CENTRAL_THEN_SPREAD,5,1.059866963000906,99
GEN9_A0_ROW_ONLY,ZERO_SHOT@D_OPTIMAL,1,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@D_OPTIMAL,2,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@D_OPTIMAL,3,1.0023329256464428,140
