seed,fold,model,mae,macro_mae,n_test,r2
196613,3,3NN_donors,0.8387649877110063,0.8768079500916511,20,0.14368697051459933
196613,3,5NN_donors,0.859835522269603,0.9005289498013365,20,0.0037577417837451055
196613,3,KERNEL_donors,0.7306729693074272,0.7645683677358883,20,0.20271124698159304
196613,3,RIDGE_mech,0.8463903616821685,0.8842585762360573,20,0.005104188401623855
196613,3,ET_mech,0.6738472847025151,0.7050721371897005,20,0.28510624772091286
196613,3,RIDGE_donors,0.8443711730166239,0.8831335230469566,20,0.012567990381640803
196613,3,ET_donors,0.77831229983333,0.812481827075414,20,0.18368115298390852
196613,4,NULL_global_mean,1.082035453816202,1.0477026981153807,30,0.0
196613,4,1NN_tanimoto,1.1596627174775533,1.114140014295894,30,-0.06829911129660204
196613,4,3NN_tanimoto,1.072947470196275,1.0533187948362612,30,0.05897548075044046
